,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
153,Mujeeb Ur Rahman,5,2,1,40.0
154,Mukesh Choudhary,10,5,1,50.0
155,Mustafizur Rahman,42,54,1,128.57142857142858
156,N Rana,7,14,1,200.0
157,NA Saini,3,4,0,133.33333333333331
158,NB Singh,5,1,0,20.0
159,NLTC Perera,42,66,1,157.14285714285714
160,NM Coulter-Nile,7,10,1,142.85714285714286
161,OF Smith,4,6,0,150.0
162,P Amarnath,4,7,0,175.0
163,P Awana,27,38,2,140.74074074074073
164,P Kumar,60,69,1,114.99999999999999
165,P Negi,34,45,0,132.35294117647058
166,P Parameswaran,4,5,0,125.0
167,P Suyal,2,0,1,0.0
168,PJ Cummins,17,17,0,100.0
169,PJ Sangwan,28,38,0,135.71428571428572
170,PP Chawla,94,123,3,130.85106382978725
171,PP Ojha,31,31,1,100.0
172,PV Tambe,34,49,1,144.11764705882354
173,PVD Chameera,6,6,1,100.0
174,Pankaj Singh,17,23,1,135.29411764705884
175,Parvez Rasool,9,7,0,77.77777777777779
176,R Ashwin,131,160,1,122.13740458015268
177,R Bhatia,26,40,0,153.84615384615387
178,R McLaren,17,18,0,105.88235294117648
179,R Parag,8,13,0,162.5
180,R Sai Kishore,14,8,0,57.14285714285714
181,R Sharma,34,46,1,135.29411764705884
182,R Shukla,7,7,0,100.0
183,R Tewatia,36,40,0,111.11111111111111
184,R Vinay Kumar,21,26,1,123.80952380952381
185,RA Jadeja,132,139,3,105.3030303030303
186,RD Chahar,26,24,1,92.3076923076923
187,RG Sharma,4,9,0,225.0
188,RJ Harris,21,21,2,100.0
189,RN ten Doeschate,2,5,0,250.0
190,RP Meredith,8,8,0,100.0
191,RP Singh,39,62,2,158.97435897435898
192,RR Powar,4,2,0,50.0
193,RS Bopara,12,12,1,100.0
194,Rashid Khan,46,54,2,117.3913043478261
195,Ravi Bishnoi,26,23,0,88.46153846153845
196,S Badree,11,14,0,127.27272727272727
197,S Gopal,39,68,3,174.35897435897436
198,S Kaul,13,18,0,138.46153846153845
199,S Kaushik,23,50,0,217.39130434782606
200,S Lamichhane,18,29,0,161.11111111111111
201,S Nadeem,57,65,0,114.03508771929825
202,S Randiv,6,8,0,133.33333333333331
203,S Sreesanth,30,24,0,80.0
204,SB Bangar,4,12,0,300.0
205,SB Jakati,57,74,2,129.82456140350877
206,SB Styris,10,16,0,160.0
207,SC Ganguly,5,8,0,160.0
208,SJ Srivastava,3,6,0,200.0
209,SK Raina,45,54,1,120.0
210,SK Trivedi,31,33,2,106.4516129032258
211,SK Warne,28,16,1,57.14285714285714
212,SL Malinga,38,34,0,89.47368421052632
213,SM Curran,32,43,2,134.375
214,SMSM Senanayake,2,0,0,0.0
215,SN Thakur,41,67,1,163.41463414634146
216,SP Narine,98,101,3,103.0612244897959
217,SR Watson,26,19,1,73.07692307692307
218,SS Cottrell,4,0,1,0.0
219,ST Jayasuriya,4,12,0,300.0
220,STR Binny,3,3,0,100.0
221,Sandeep Sharma,59,78,7,132.20338983050848
222,Shahid Afridi,5,5,0,100.0
