,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
147,R Sathish,6,20,0,333.33333333333337
148,R Sharma,12,4,1,33.33333333333333
149,R Tewatia,7,19,0,271.42857142857144
150,R Vinay Kumar,19,41,1,215.78947368421052
151,RA Jadeja,53,114,2,215.0943396226415
152,RD Chahar,7,8,0,114.28571428571428
153,RE van der Merwe,4,10,0,250.0
154,RJ Harris,13,23,1,176.9230769230769
155,RP Singh,6,15,0,250.0
156,RR Powar,4,4,0,100.0
157,Rashid Khan,48,28,2,58.333333333333336
158,Ravi Bishnoi,9,11,0,122.22222222222223
159,S Aravind,23,28,1,121.73913043478262
160,S Badree,6,3,0,50.0
161,S Gopal,10,7,1,70.0
162,S Kaul,17,30,0,176.47058823529412
163,S Ladda,8,17,1,212.5
164,S Lamichhane,1,0,1,0.0
165,S Nadeem,22,17,1,77.27272727272727
166,S Sandeep Warrier,3,3,0,100.0
167,S Tyagi,1,2,0,200.0
168,SB Jakati,5,3,0,60.0
169,SJ Srivastava,7,8,0,114.28571428571428
170,SK Trivedi,19,10,0,52.63157894736842
171,SK Warne,6,4,0,66.66666666666666
172,SM Curran,23,54,0,234.7826086956522
173,SMSM Senanayake,5,9,0,180.0
174,SN Thakur,33,54,0,163.63636363636365
175,SP Narine,38,40,1,105.26315789473684
176,SR Watson,43,75,1,174.41860465116278
177,STR Binny,9,17,1,188.88888888888889
178,Sandeep Sharma,25,44,1,176.0
179,Shakib Al Hasan,32,39,1,121.875
180,Shivam Mavi,6,11,0,183.33333333333331
181,Shivam Sharma,3,7,0,233.33333333333334
182,T Natarajan,13,38,0,292.30769230769226
183,TA Boult,19,26,1,136.8421052631579
184,TG Southee,12,28,1,233.33333333333334
185,TS Mills,8,12,0,150.0
186,UT Yadav,29,36,1,124.13793103448276
187,Umran Malik,1,1,0,100.0
188,VG Arora,1,0,0,0.0
189,VR Aaron,11,9,0,81.81818181818183
190,VS Malik,2,5,0,250.0
191,WD Parnell,7,3,0,42.857142857142854
192,Washington Sundar,5,2,1,40.0
193,YS Chahal,51,71,4,139.2156862745098
194,Yuvraj Singh,7,10,0,142.85714285714286
195,Z Khan,32,45,1,140.625
