,bowler,balls_faced,runs_scored,times_dismissed,strike_rate
137,PC Valthaty,10,14,0,140.0
138,PJ Cummins,12,23,0,191.66666666666669
139,PJ Sangwan,4,6,0,150.0
140,PP Chawla,52,53,4,101.92307692307692
141,PP Ojha,32,39,0,121.875
142,PV Tambe,32,54,1,168.75
143,Pankaj Singh,5,3,0,60.0
144,Parvez Rasool,2,1,0,50.0
145,R Ashwin,61,69,2,113.11475409836065
146,R Bhatia,27,36,0,133.33333333333331
147,R Dhawan,6,8,1,133.33333333333331
148,R McLaren,3,7,0,233.33333333333334
149,R Parag,1,4,0,400.0
150,R Sharma,12,10,1,83.33333333333334
151,R Tewatia,14,22,0,157.14285714285714
152,R Vinay Kumar,20,16,1,80.0
153,RA Jadeja,93,111,2,119.35483870967742
154,RD Chahar,28,34,0,121.42857142857142
155,RE van der Merwe,5,7,1,140.0
156,RG Sharma,13,20,0,153.84615384615387
157,RJ Harris,5,10,0,200.0
158,RP Singh,12,12,1,100.0
159,RR Powar,3,5,0,166.66666666666669
160,RR Raje,7,9,0,128.57142857142858
161,RS Bopara,8,20,0,250.0
162,RV Gomez,4,19,0,475.0
163,RV Patel,4,5,0,125.0
164,Rashid Khan,43,45,3,104.65116279069768
165,Ravi Bishnoi,15,14,0,93.33333333333333
166,S Badree,1,1,0,100.0
167,S Gopal,34,30,4,88.23529411764706
168,S Kaul,24,52,1,216.66666666666666
169,S Kaushik,5,12,0,240.0
170,S Lamichhane,11,13,0,118.18181818181819
171,S Nadeem,56,77,1,137.5
172,S Randiv,12,13,0,108.33333333333333
173,S Sreesanth,16,18,2,112.5
174,S Tyagi,1,0,1,0.0
175,SB Jakati,30,55,2,183.33333333333331
176,SE Rutherford,2,1,1,50.0
177,SJ Srivastava,5,7,0,140.0
178,SK Raina,1,1,0,100.0
179,SK Trivedi,26,38,1,146.15384615384613
180,SK Warne,38,43,2,113.1578947368421
181,SL Malinga,63,123,0,195.23809523809524
182,SM Curran,3,6,0,200.0
183,SM Pollock,9,3,0,33.33333333333333
184,SMSM Senanayake,3,4,0,133.33333333333331
185,SN Thakur,29,48,2,165.51724137931035
186,SP Narine,40,53,4,132.5
187,SR Tendulkar,6,19,0,316.66666666666663
188,SR Watson,50,53,1,106.0
189,SS Cottrell,9,12,0,133.33333333333331
190,SS Sarkar,1,4,0,400.0
191,STR Binny,15,16,0,106.66666666666667
192,SW Tait,7,1,0,14.285714285714285
193,Sandeep Sharma,57,107,2,187.71929824561403
194,Shakib Al Hasan,33,49,0,148.4848484848485
195,Shivam Sharma,8,17,0,212.5
196,Shoaib Ahmed,6,4,1,66.66666666666666
197,Shoaib Akhtar,9,4,1,44.44444444444444
198,T Natarajan,20,25,1,125.0
199,TA Boult,21,55,1,261.9047619047619
200,TG Southee,17,23,0,135.29411764705884
201,TK Curran,2,5,0,250.0
202,UT Yadav,25,42,0,168.0
203,Umran Malik,1,1,0,100.0
204,V Pratap Singh,8,4,0,50.0
205,VR Aaron,16,32,0,200.0
206,WPUJC Vaas,9,8,0,88.88888888888889
207,YA Abdulla,2,2,0,100.0
208,YK Pathan,14,23,0,164.28571428571428
209,Yuvraj Singh,6,6,0,100.0
210,Z Khan,21,28,1,133.33333333333331
